SampleID	rarefy_to	Barcode	Barcode_Quality	HiFi_Reads	HiFi_Mean_Read_Length	HiFi_Mean_Read_Quality	HiFi_Yield	Hive	Group	Bee	Timepoint	DPC	Replicate	SampleType	plate_extraction	plate_libraryprep	Experiment_run	Run_name	Ct	dilution	volume_to_be_added
1.MD.2.A	60000	Kinnex16S_Fwd_01--Kinnex16S_Rev_24	99.471607	43074	1494	Q30	64361358	1	MD	2	A	4	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
1.MD.2.C	60000	Kinnex16S_Fwd_06--Kinnex16S_Rev_26	99.48728445	11482	1485	Q30	17056498	1	MD	2	C	9	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
1.MD.3.A	60000	Kinnex16S_Fwd_01--Kinnex16S_Rev_25	99.49444433	145707	1493	Q30	217632154	1	MD	3	A	4	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
1.MD.3.B	60000	Kinnex16S_Fwd_04--Kinnex16S_Rev_25	99.49981076	31706	1495	Q30	47404166	1	MD	3	B	6	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	39.701	1	10
1.MD.3.C	60000	Kinnex16S_Fwd_05--Kinnex16S_Rev_33	99.49834955	23024	1494	Q30	34398569	1	MD	3	C	9	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	39.618	1	10
1.MD.3.D	60000	Kinnex16S_Fwd_06--Kinnex16S_Rev_42	94.88461538	52	1516	Q29	78833	1	MD	3	D	11	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	39.265	1	10
1.MD.4.A	60000	Kinnex16S_Fwd_01--Kinnex16S_Rev_31	99.50736956	42472	1493	Q30	63433378	1	MD	4	A	4	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
1.MD.4.B	60000	Kinnex16S_Fwd_03--Kinnex16S_Rev_33	99.52690991	13731	1490	Q30	20470275	1	MD	4	B	6	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
1.MD.4.C	60000	Kinnex16S_Fwd_04--Kinnex16S_Rev_41	96.29230769	65	1549	Q30	100700	1	MD	4	C	9	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	38.183	1	10
1.MD.4.D	60000	Kinnex16S_Fwd_09--Kinnex16S_Rev_21	99.39424196	36957	1494	Q30	55246025	1	MD	4	D	11	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
1.MD.5.A	60000	Kinnex16S_Fwd_01--Kinnex16S_Rev_38	97.25	100	1512	Q29	151219	1	MD	5	A	4	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	39.643	1	10
1.MD.5.B	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_39	90.8	35	1512	Q27	52948	1	MD	5	B	6	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
1.MD.5.C	60000	Kinnex16S_Fwd_06--Kinnex16S_Rev_27	99.51603744	60577	1492	Q30	90432721	1	MD	5	C	9	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
1.MD.5.D	60000	Kinnex16S_Fwd_07--Kinnex16S_Rev_35	99.42029527	5351	1490	Q30	7974748	1	MD	5	D	11	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
1.MD.6.B	60000	Kinnex16S_Fwd_04--Kinnex16S_Rev_26	99.51967401	63561	1495	Q30	95029344	1	MD	6	B	6	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	35.603	1	10
1.MD.6.C	60000	Kinnex16S_Fwd_05--Kinnex16S_Rev_34	99.49628806	22495	1493	Q30	33594758	1	MD	6	C	9	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
1.MD.6.D	60000	Kinnex16S_Fwd_06--Kinnex16S_Rev_43	95.63829787	47	1521	Q29	71509	1	MD	6	D	11	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
1.MD.7.D	60000	Kinnex16S_Fwd_09--Kinnex16S_Rev_22	99.39167704	14466	1494	Q30	21619957	1	MD	7	D	11	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
5.MD.1.A	60000	Kinnex16S_Fwd_03--Kinnex16S_Rev_26	99.4975	17200	1494	Q30	25708505	5	MD	1	A	4	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
5.MD.1.B	60000	Kinnex16S_Fwd_04--Kinnex16S_Rev_36	99.51226653	26984	1496	Q30	40369260	5	MD	1	B	6	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	39.564	1	10
5.MD.1.C	60000	Kinnex16S_Fwd_08--Kinnex16S_Rev_23	99.51445402	80635	1492	Q30	120367394	5	MD	1	C	9	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
5.MD.2.A	60000	Kinnex16S_Fwd_03--Kinnex16S_Rev_27	99.53630317	46759	1496	Q30	69983505	5	MD	2	A	4	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
5.MD.2.B	60000	Kinnex16S_Fwd_03--Kinnex16S_Rev_43	97.36538462	52	1514	Q28	78746	5	MD	2	B	6	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	39.53	1	10
5.MD.2.C	60000	Kinnex16S_Fwd_07--Kinnex16S_Rev_31	99.45363296	13350	1494	Q30	19950373	5	MD	2	C	9	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
5.MD.2.D	60000	Kinnex16S_Fwd_10--Kinnex16S_Rev_24	99.45737445	59835	1494	Q30	89421553	5	MD	2	D	11	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	38.556	1	10
5.MD.3.A	60000	Kinnex16S_Fwd_02--Kinnex16S_Rev_36	99.4776953	14145	1493	Q30	21119719	5	MD	3	A	4	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
5.MD.3.B	60000	Kinnex16S_Fwd_06--Kinnex16S_Rev_21	99.49450799	48525	1493	Q30	72452114	5	MD	3	B	6	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
5.MD.3.D	60000	Kinnex16S_Fwd_08--Kinnex16S_Rev_36	99.50883362	23037	1492	Q30	34388718	5	MD	3	D	11	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	NA	1	10
5.MD.4.A	60000	Kinnex16S_Fwd_01--Kinnex16S_Rev_43	96.8	70	1507	Q27	105491	5	MD	4	A	4	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
5.MD.4.B	60000	Kinnex16S_Fwd_05--Kinnex16S_Rev_29	99.50286044	57159	1489	Q30	85142777	5	MD	4	B	6	26/09/2024	MD	2	2	1	m84177_250423_121042_s4	39.061	1	10
5.MD.4.C	60000	Kinnex16S_Fwd_06--Kinnex16S_Rev_37	91.9266055	109	1513	Q29	164932	5	MD	4	C	9	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	NA	1	10
5.MD.4.D	60000	Kinnex16S_Fwd_08--Kinnex16S_Rev_41	99.50161183	40637	1493	Q30	60695178	5	MD	4	D	11	26/09/2024	MD	3	3	1	m84177_250423_121042_s4	37.303	1	10
5.MD.5.A	60000	Kinnex16S_Fwd_03--Kinnex16S_Rev_28	99.53654488	48201	1496	Q30	72116633	5	MD	5	A	4	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	39.849	1	10
5.MD.5.D	60000	Kinnex16S_Fwd_10--Kinnex16S_Rev_25	99.48492983	174716	1494	Q30	261091076	5	MD	5	D	11	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
5.MD.6.B	60000	Kinnex16S_Fwd_06--Kinnex16S_Rev_22	99.46842065	26378	1493	Q30	39406526	5	MD	6	B	6	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
5.MD.6.C	60000	Kinnex16S_Fwd_08--Kinnex16S_Rev_24	99.42832209	8594	1487	Q30	12781889	5	MD	6	C	9	26/09/2024	MD	1	1	1	m84177_250423_121042_s4	NA	1	10
